N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
12, 8, 20, O, 3796.909, 1.188, 151370.720, 1.188, 0
11, 9, 20, F, -17.396, 0.084, 154402.672, 0.087, 0
10, 10, 20, Ne, -7041.930, 0.002, 160644.852, 0.024, 0
9, 11, 20, Na, 6844.859, 6.662, 145975.710, 6.662, 0
8, 12, 20, Mg, 17570.530, 27.001, 134467.685, 27.001, 0
15, 6, 21, C, 45960, 503, 118844, 503, 1
14, 7, 21, N, 25231.909, 89.365, 138789.396, 89.365, 0
13, 8, 21, O, 8061.736, 12.026, 155177.216, 12.026, 0
12, 9, 21, F, -47.580, 1.801, 162504.178, 1.802, 0
11, 10, 21, Ne, -5731.720, 0.040, 167405.965, 0.047, 0
10, 11, 21, Na, -2184.261, 0.700, 163076.152, 0.700, 0
9, 12, 21, Mg, 10911.681, 16.416, 149197.857, 16.416, 0
8, 13, 21, Al, 26119, 298, 133208, 298, 1
16, 6, 22, C, 52583, 904, 120292, 904, 1
15, 7, 22, N, 32080.890, 195.905, 140011.738, 195.905, 0
14, 8, 22, O, 9284.346, 56.927, 162025.929, 56.927, 0
13, 9, 22, F, 2793.783, 12.401, 167734.138, 12.401, 0
12, 10, 22, Ne, -8024.344, 0.216, 177769.912, 0.217, 0
11, 11, 22, Na, -5182.104, 0.455, 174145.318, 0.455, 0
10, 12, 22, Mg, -396.766, 1.355, 168577.626, 1.355, 0
9, 13, 22, Al, 18183, 93, 149216, 93, 1
8, 14, 22, Si, 32164, 200, 134452, 200, 1
16, 7, 23, N, 37735, 708, 142429, 708, 1
15, 8, 23, O, 14616.373, 102.174, 164765.224, 102.174, 0
14, 9, 23, F, 3329.518, 79.541, 175269.726, 79.541, 0
13, 10, 23, Ne, -5153.641, 0.247, 182970.532, 0.248, 0
12, 11, 23, Na, -9529.485, 0.210, 186564.023, 0.212, 0
11, 12, 23, Mg, -5472.666, 1.252, 181724.850, 1.252, 0
10, 13, 23, Al, 6767.210, 25.000, 168702.620, 25.000, 0
9, 14, 23, Si, 23772, 196, 150916, 196, 1
17, 7, 24, N, 47040, 503, 141195, 503, 1
16, 8, 24, O, 18974.457, 308.471, 168478.463, 308.471, 0
15, 9, 24, F, 7544.514, 65.114, 179126.053, 65.114, 0
14, 10, 24, Ne, -5947.519, 10.002, 191835.733, 10.002, 0
13, 11, 24, Na, -8417.601, 0.216, 193523.461, 0.218, 0
12, 12, 24, Mg, -13933.381, 0.187, 198256.887, 0.189, 0
11, 13, 24, Al, -55.041, 3.938, 183596.194, 3.938, 0
10, 14, 24, Si, 10754.759, 19.473, 172004.041, 19.473, 0
9, 15, 24, P, 31997, 503, 149980, 503, 1
17, 8, 25, O, 27144, 373, 168381, 373, 1
16, 9, 25, F, 11266.384, 76.705, 183475.506, 76.705, 0
15, 10, 25, Ne, -2058.696, 44.722, 196018.232, 44.722, 0
14, 11, 25, Na, -9357.459, 1.217, 202534.642, 1.217, 0
13, 12, 25, Mg, -13192.726, 0.190, 205587.555, 0.192, 0
12, 13, 25, Al, -8915.742, 0.691, 200528.218, 0.692, 0
11, 14, 25, Si, 3825.310, 10.000, 187004.813, 10.000, 0
10, 15, 25, P, 18872, 196, 171176, 196, 1
18, 8, 26, O, 35164, 428, 168432, 428, 1
17, 9, 26, F, 18288.165, 123.965, 184525.048, 123.965, 0
16, 10, 26, Ne, 429.882, 54.667, 201600.977, 54.667, 0
15, 11, 26, Na, -6902.465, 14.368, 208150.970, 14.368, 0
14, 12, 26, Mg, -16214.476, 0.193, 216680.629, 0.195, 0
13, 13, 26, Al, -12210.339, 0.197, 211894.138, 0.199, 0
12, 14, 26, Si, -7144.618, 3.000, 206046.063, 3.000, 0
11, 15, 26, P, 10973, 196, 187146, 196, 1
10, 16, 26, S, 25970, 298, 171367, 298, 1
18, 9, 27, F, 25050.028, 418.168, 185834.508, 418.168, 0
17, 10, 27, Ne, 7093.512, 91.303, 203008.670, 91.303, 0
16, 11, 27, Na, -5580.857, 38.180, 214900.686, 38.180, 0
15, 12, 27, Mg, -14586.503, 0.197, 223123.978, 0.200, 0
14, 13, 27, Al, -17196.829, 0.126, 224951.950, 0.130, 0
13, 14, 27, Si, -12384.431, 0.159, 219357.199, 0.162, 0
12, 15, 27, P, -752.978, 35.000, 206943.392, 35.000, 0
11, 16, 27, S, 17507, 203, 187901, 203, 1
19, 9, 28, F, 33226, 512, 185729, 512, 1
18, 10, 28, Ne, 11278.595, 112.404, 206894.910, 112.404, 0
17, 11, 28, Na, -1033.576, 75.743, 218424.727, 75.743, 0
16, 12, 28, Mg, -15018.752, 2.005, 231627.550, 2.005, 0
15, 13, 28, Al, -16850.552, 0.138, 232676.997, 0.142, 0
14, 14, 28, Si, -21492.793, 0.002, 236536.884, 0.034, 0
13, 15, 28, P, -7161.018, 3.750, 221422.755, 3.750, 0
12, 16, 28, S, 4073.107, 160.000, 209406.277, 160.000, 0
11, 17, 28, Cl, 26557, 503, 186140, 503, 1
20, 9, 29, F, 40296, 578, 186731, 578, 1
19, 10, 29, Ne, 18020.589, 301.522, 208224.239, 301.522, 0
18, 11, 29, Na, 2618.710, 88.944, 222843.764, 88.944, 0
17, 12, 29, Mg, -10661.187, 28.579, 235341.307, 28.579, 0
16, 13, 29, Al, -18215.504, 1.207, 242113.271, 1.207, 0
15, 14, 29, Si, -21895.025, 0.028, 245010.439, 0.046, 0
14, 15, 29, P, -16951.907, 0.724, 239284.967, 0.725, 0
13, 16, 29, S, -3158.878, 50.000, 224709.585, 50.000, 0
12, 17, 29, Cl, 13143, 196, 207625, 196, 1
20, 10, 30, Ne, 22236.621, 823.441, 212079.529, 823.441, 0
19, 11, 30, Na, 8594.416, 93.355, 224939.381, 93.355, 0
18, 12, 30, Mg, -8882.233, 66.860, 241633.676, 66.860, 0
17, 13, 30, Al, -15872.372, 14.045, 247841.462, 14.045, 0
16, 14, 30, Si, -24432.881, 0.042, 255619.618, 0.057, 0
15, 15, 30, P, -20200.556, 0.401, 250604.939, 0.403, 0
14, 16, 30, S, -14062.806, 3.002, 243684.835, 3.002, 0
13, 17, 30, Cl, 4443, 196, 224396, 196, 1
12, 18, 30, Ar, 20083, 298, 207974, 298, 1
21, 10, 31, Ne, 30842, 904, 211546, 904, 1
20, 11, 31, Na, 12663.760, 164.595, 228941.360, 164.595, 0
19, 12, 31, Mg, -3215.089, 75.711, 244037.856, 75.711, 0
18, 13, 31, Al, -14954.181, 20.343, 254994.594, 20.343, 0
17, 14, 31, Si, -22948.958, 0.065, 262207.017, 0.077, 0
16, 15, 31, P, -24440.991, 0.183, 262916.697, 0.188, 0
15, 16, 31, S, -19044.932, 1.504, 256738.284, 1.505, 0
14, 17, 31, Cl, -7064.436, 50.001, 243975.435, 50.001, 0
13, 18, 31, Ar, 11296, 206, 224833, 206, 1
22, 10, 32, Ne, 37176, 876, 213283, 876, 1
21, 11, 32, Na, 18303.661, 481.464, 231372.782, 481.464, 0
20, 12, 32, Mg, -795.599, 95.708, 249689.688, 95.708, 0
19, 13, 32, Al, -11062.068, 86.813, 259173.804, 86.813, 0
18, 14, 32, Si, -24080.859, 2.164, 271410.242, 2.165, 0
17, 15, 32, P, -24305.318, 0.188, 270852.346, 0.192, 0
16, 16, 32, S, -26015.981, 0.112, 271780.656, 0.120, 0
15, 17, 32, Cl, -13330.694, 6.782, 258313.016, 6.783, 0
14, 18, 32, Ar, -2179.081, 50.000, 246379.049, 50.000, 0
13, 19, 32, K, 20418, 503, 222999, 503, 1
22, 11, 33, Na, 25509.891, 1491.322, 232237.874, 1491.322, 0
21, 12, 33, Mg, 5204.233, 145.915, 251761.179, 145.915, 0
20, 13, 33, Al, -8504.923, 65.451, 264687.982, 65.452, 0
19, 14, 33, Si, -20492.381, 15.791, 275893.086, 15.791, 0
18, 15, 33, P, -26337.727, 1.095, 280956.079, 1.096, 0
17, 16, 33, S, -26586.235, 0.109, 280422.233, 0.118, 0
16, 17, 33, Cl, -21003.512, 0.512, 274057.156, 0.514, 0
15, 18, 33, Ar, -9381.336, 30.001, 261652.628, 30.001, 0
14, 19, 33, K, 6763, 196, 244726, 196, 1
23, 11, 34, Na, 32509, 1053, 233310, 1053, 1
22, 12, 34, Mg, 8450.922, 262.661, 256585.813, 262.661, 0
21, 13, 34, Al, -2862.243, 90.268, 267116.624, 90.268, 0
20, 14, 34, Si, -19956.562, 14.118, 283428.590, 14.118, 0
19, 15, 34, P, -24557.549, 5.006, 287247.223, 5.006, 0
18, 16, 34, S, -29931.850, 0.098, 291839.171, 0.108, 0
17, 17, 34, Cl, -24440.566, 0.120, 285565.534, 0.128, 0
16, 18, 34, Ar, -18378.264, 3.011, 278720.878, 3.011, 0
15, 19, 34, K, -1481, 298, 261041, 298, 1
14, 20, 34, Ca, 13153, 298, 245625, 298, 1
24, 11, 35, Na, 41153, 1546, 232737, 1546, 1
23, 12, 35, Mg, 17390.059, 1603.101, 255717.999, 1603.101, 0
22, 13, 35, Al, -58.079, 140.929, 272383.783, 140.929, 0
21, 14, 35, Si, -14359.762, 38.412, 285903.113, 38.412, 0
20, 15, 35, P, -24857.613, 1.872, 295618.611, 1.872, 0
19, 16, 35, S, -28846.371, 0.092, 298825.015, 0.103, 0
18, 17, 35, Cl, -29013.512, 0.039, 298209.803, 0.058, 0
17, 18, 35, Ar, -23048.208, 0.770, 291462.144, 0.771, 0
16, 19, 35, K, -11167.107, 20.002, 278798.690, 20.002, 0
15, 20, 35, Ca, 4439, 69, 262411, 69, 1
24, 12, 36, Mg, 20912, 904, 260267, 904, 1
23, 13, 36, Al, 5916.384, 270.117, 274480.643, 270.117, 0
22, 14, 36, Si, -12400.639, 103.104, 292015.313, 103.104, 0
21, 15, 36, P, -20250.840, 13.114, 299083.160, 13.115, 0
20, 16, 36, S, -30663.958, 0.235, 308713.925, 0.239, 0
19, 17, 36, Cl, -29521.886, 0.077, 306789.499, 0.089, 0
18, 18, 36, Ar, -30230.439, 0.254, 306715.699, 0.258, 0
17, 19, 36, K, -17425.078, 7.785, 293127.984, 7.785, 0
16, 20, 36, Ca, -6439.199, 40.001, 281359.752, 40.001, 0
15, 21, 36, Sc, 13898, 503, 260240, 503, 1
25, 12, 37, Mg, 29100, 904, 260151, 904, 1
24, 13, 37, Al, 9603.702, 539.335, 278864.648, 539.335, 0
23, 14, 37, Si, -6524.192, 125.381, 294210.189, 125.381, 0
22, 15, 37, P, -18994.708, 37.948, 305898.351, 37.948, 0
21, 16, 37, S, -26896.218, 0.251, 313017.507, 0.256, 0
20, 17, 37, Cl, -31761.519, 0.048, 317100.455, 0.067, 0
19, 18, 37, Ar, -30948.034, 0.305, 315504.616, 0.309, 0
18, 19, 37, K, -24799.240, 0.270, 308573.470, 0.273, 0
17, 20, 37, Ca, -13160.607, 22.363, 296152.482, 22.363, 0
16, 21, 37, Sc, 2841, 298, 279368, 298, 1
25, 13, 38, Al, 15742, 559, 280797, 559, 1
24, 14, 38, Si, -3744.605, 270.133, 299501.924, 270.133, 0
23, 15, 38, P, -14466.100, 139.724, 309441.065, 139.724, 0
22, 16, 38, S, -26861.076, 7.172, 321053.688, 7.172, 0
21, 17, 38, Cl, -29797.976, 0.111, 323208.235, 0.121, 0
20, 18, 38, Ar, -34714.763, 0.491, 327342.669, 0.494, 0
19, 19, 38, K, -28801.691, 0.724, 320647.243, 0.725, 0
18, 20, 38, Ca, -22059.044, 4.561, 313122.243, 4.561, 0
17, 21, 38, Sc, -4937, 298, 295218, 298, 1
16, 22, 38, Ti, 9101, 252, 280398, 252, 1
26, 13, 39, Al, 20400, 596, 284211, 596, 1
25, 14, 39, Si, 2142, 401, 301686, 401, 1
24, 15, 39, P, -12649.687, 149.039, 315695.975, 149.039, 0
23, 16, 39, S, -23161.339, 50.000, 325425.274, 50.000, 0
22, 17, 39, Cl, -29800.652, 1.736, 331282.234, 1.737, 0
21, 18, 39, Ar, -33241.836, 5.008, 333941.065, 5.008, 0
20, 19, 39, K, -33806.836, 0.280, 333723.711, 0.285, 0
19, 20, 39, Ca, -27276.256, 1.788, 326410.777, 1.788, 0
18, 21, 39, Sc, -14168.014, 24.002, 312520.181, 24.002, 0
17, 22, 39, Ti, 1232, 103, 296338, 103, 1
26, 14, 40, Si, 5403, 503, 306497, 503, 1
25, 15, 40, P, -8336.870, 195.614, 319454.481, 195.614, 0
24, 16, 40, S, -22849.544, 232.873, 333184.802, 232.873, 0
23, 17, 40, Cl, -27557.728, 32.066, 337110.633, 32.066, 0
22, 18, 40, Ar, -35039.890, 0.004, 343810.441, 0.052, 0
21, 19, 40, K, -33535.016, 0.271, 341523.214, 0.276, 0
20, 20, 40, Ca, -34846.110, 0.293, 342051.954, 0.297, 0
19, 21, 40, Sc, -20526.386, 4.106, 326949.876, 4.107, 0
18, 22, 40, Ti, -8850.210, 160.000, 314491.347, 160.000, 0
17, 23, 40, V, 10330, 503, 294529, 503, 1
27, 14, 41, Si, 11830, 596, 308141, 596, 1
26, 15, 41, P, -4843.768, 465.747, 324032.702, 465.747, 0
25, 16, 41, S, -18601.932, 214.244, 337008.513, 214.244, 0
24, 17, 41, Cl, -27339.148, 64.786, 344963.375, 64.786, 0
23, 18, 41, Ar, -33067.261, 0.653, 349909.135, 0.655, 0
22, 19, 41, K, -35558.872, 0.261, 351618.393, 0.266, 0
21, 20, 41, Ca, -35137.487, 0.374, 350414.654, 0.377, 0
20, 21, 41, Sc, -28642.211, 0.305, 343137.024, 0.309, 0
19, 22, 41, Ti, -15713, 35, 329426, 35, 1
18, 23, 41, V, -242, 252, 313172, 252, 1
28, 14, 42, Si, 14997, 699, 313046, 699, 1
27, 15, 42, P, 84, 503, 327176, 503, 1
26, 16, 42, S, -17241.951, 326.023, 343719.855, 326.023, 0
25, 17, 42, Cl, -24987.328, 109.201, 350682.878, 109.201, 0
24, 18, 42, Ar, -34422.065, 40.000, 359335.261, 40.000, 0
23, 19, 42, K, -35021.319, 0.301, 359152.163, 0.306, 0
22, 20, 42, Ca, -38546.765, 0.378, 361895.254, 0.382, 0
21, 21, 42, Sc, -32120.925, 0.393, 354687.062, 0.396, 0
20, 22, 42, Ti, -25120.878, 5.456, 346904.661, 5.456, 0
19, 23, 42, V, -8169, 196, 329171, 196, 1
18, 24, 42, Cr, 5990, 298, 314230, 298, 1
28, 15, 43, P, 3083, 503, 332248, 503, 1
27, 16, 43, S, -12482.018, 838.344, 347031.244, 838.344, 0
26, 17, 43, Cl, -24029.389, 161.753, 357796.262, 161.753, 0
25, 18, 43, Ar, -31977.531, 70.123, 364962.051, 70.123, 0
24, 19, 43, K, -36593.042, 8.957, 368795.208, 8.957, 0
23, 20, 43, Ca, -38408.442, 0.482, 369828.254, 0.485, 0
22, 21, 43, Sc, -36187.623, 1.895, 366825.082, 1.896, 0
21, 22, 43, Ti, -29320.314, 6.906, 359175.419, 6.906, 0
20, 23, 43, V, -18024, 233, 347097, 233, 1
19, 24, 43, Cr, -2136, 87, 330426, 87, 1
29, 15, 44, P, 9203, 699, 334200, 699, 1
28, 16, 44, S, -10880, 503, 353500, 503, 1
27, 17, 44, Cl, -19991.058, 221.299, 361829.254, 221.299, 0
26, 18, 44, Ar, -32262.039, 20.426, 373317.882, 20.426, 0
25, 19, 44, K, -35810.214, 35.787, 376083.703, 35.787, 0
24, 20, 44, Ca, -41469.087, 0.851, 380960.223, 0.852, 0
23, 21, 44, Sc, -37815.811, 1.802, 376524.593, 1.803, 0
22, 22, 44, Ti, -37548.299, 0.759, 375474.727, 0.761, 0
21, 23, 44, V, -23846, 84, 360990, 84, 1
20, 24, 44, Cr, -13535, 130, 349896, 130, 1
19, 25, 44, Mn, 6399, 503, 329180, 503, 1
30, 15, 45, P, 14103, 801, 337371, 801, 1
29, 16, 45, S, -4825, 596, 355517, 596, 1
28, 17, 45, Cl, -18909.325, 652.046, 368818.844, 652.046, 0
27, 18, 45, Ar, -29719.331, 60.143, 378846.496, 60.143, 0
26, 19, 45, K, -36608.028, 10.276, 384952.839, 10.276, 0
25, 20, 45, Ca, -40812.530, 0.896, 388374.988, 0.897, 0
24, 21, 45, Sc, -41069.338, 1.090, 387849.443, 1.091, 0
23, 22, 45, Ti, -39006.912, 1.202, 385004.663, 1.203, 0
22, 23, 45, V, -31873.591, 17.051, 377088.989, 17.052, 0
21, 24, 45, Cr, -19412, 102, 363845, 102, 1
20, 25, 45, Mn, -5114, 298, 348765, 298, 1
19, 26, 45, Fe, 13563, 401, 329306, 401, 1
31, 15, 46, P, 22197, 904, 337348, 904, 1
30, 16, 46, S, -401, 699, 359164, 699, 1
29, 17, 46, Cl, -14792, 503, 372773, 503, 1
28, 18, 46, Ar, -29720.739, 40.898, 386919.227, 40.898, 0
27, 19, 46, K, -35418.933, 15.563, 391835.068, 15.563, 0
26, 20, 46, Ca, -43134.911, 2.365, 398768.692, 2.366, 0
25, 21, 46, Sc, -41758.637, 1.096, 396610.064, 1.097, 0
24, 22, 46, Ti, -44125.338, 1.116, 398194.413, 1.118, 0
23, 23, 46, V, -37073.929, 1.499, 390360.650, 1.500, 0
22, 24, 46, Cr, -29470.929, 20.056, 381975.297, 20.056, 0
21, 25, 46, Mn, -12370, 112, 364092, 112, 1
20, 26, 46, Fe, 755, 354, 350185, 354, 1
31, 16, 47, S, 7098, 801, 359737, 801, 1
30, 17, 47, Cl, -11225, 596, 377277, 596, 1
29, 18, 47, Ar, -25908.348, 100.086, 391178.159, 100.086, 0
28, 19, 47, K, -35696.887, 7.997, 400184.345, 7.997, 0
27, 20, 47, Ca, -42339.694, 2.322, 406044.798, 2.323, 0
26, 21, 47, Sc, -44331.631, 2.095, 407254.381, 2.096, 0
25, 22, 47, Ti, -44931.732, 0.977, 407072.129, 0.979, 0
24, 23, 47, V, -42003.929, 1.119, 403361.973, 1.120, 0
23, 24, 47, Cr, -34552.357, 14.062, 395128.047, 14.063, 0
22, 25, 47, Mn, -22263, 158, 382056, 158, 1
21, 26, 47, Fe, -6623, 261, 365634, 261, 1
32, 16, 48, S, 12100, 904, 362806, 904, 1
31, 17, 48, Cl, -4797, 699, 378921, 699, 1
30, 18, 48, Ar, -23222, 298, 396563, 298, 1
29, 19, 48, K, -32124.479, 24.117, 404683.259, 24.117, 0
28, 20, 48, Ca, -44214.742, 4.147, 415991.169, 4.148, 0
27, 21, 48, Sc, -44492.812, 5.285, 415486.886, 5.286, 0
26, 22, 48, Ti, -48487.000, 0.977, 418698.720, 0.979, 0
25, 23, 48, V, -44474.659, 2.605, 413904.025, 2.605, 0
24, 24, 48, Cr, -42815.313, 7.404, 411462.326, 7.404, 0
23, 25, 48, Mn, -28997, 71, 396862, 71, 1
22, 26, 48, Fe, -18108, 102, 385191, 102, 1
21, 27, 48, Co, 1639, 401, 364661, 401, 1
33, 16, 49, S, 20502, 997, 362475, 997, 1
32, 17, 49, Cl, -102, 801, 382297, 801, 1
31, 18, 49, Ar, -16599, 503, 398012, 503, 1
30, 19, 49, K, -30320.047, 70.124, 410950.150, 70.124, 0
29, 20, 49, Ca, -41290.047, 4.164, 421137.796, 4.165, 0
28, 21, 49, Sc, -46552.277, 4.065, 425617.673, 4.066, 0
27, 22, 49, Ti, -48558.040, 0.978, 426841.083, 0.980, 0
26, 23, 49, V, -47956.179, 1.284, 425456.868, 1.285, 0
25, 24, 49, Cr, -45325.434, 2.567, 422043.769, 2.568, 0
24, 25, 49, Mn, -37610.541, 24.037, 413546.523, 24.037, 0
23, 26, 49, Fe, -24582, 158, 399736, 158, 1
22, 27, 49, Co, -9576, 261, 383947, 261, 1
33, 17, 50, Cl, 7200, 904, 383066, 904, 1
32, 18, 50, Ar, -13097, 699, 402581, 699, 1
31, 19, 50, K, -25352.625, 278.440, 414054.051, 278.440, 0
30, 20, 50, Ca, -39571.456, 9.297, 427490.528, 9.297, 0
29, 21, 50, Sc, -44537.508, 15.563, 431674.227, 15.563, 0
28, 22, 50, Ti, -51425.849, 0.978, 437780.214, 0.980, 0
27, 23, 50, V, -49217.535, 1.309, 434789.547, 1.310, 0
26, 24, 50, Cr, -50254.460, 1.323, 435044.118, 1.325, 0
25, 25, 50, Mn, -42621.470, 1.352, 426628.776, 1.354, 0
24, 26, 50, Fe, -34471.499, 60.015, 417696.450, 60.015, 0
23, 27, 50, Co, -17195, 168, 399638, 168, 1
22, 28, 50, Ni, -3791, 261, 385451, 261, 1
34, 17, 51, Cl, 12603, 997, 385734, 997, 1
33, 18, 51, Ar, -6297, 699, 403852, 699, 1
32, 19, 51, K, -22002, 503, 418775, 503, 1
31, 20, 51, Ca, -35886.511, 90.963, 431876.906, 90.963, 0
30, 21, 51, Sc, -43218.800, 20.426, 438426.842, 20.426, 0
29, 22, 51, Ti, -49726.852, 1.337, 444152.541, 1.338, 0
28, 23, 51, V, -52197.493, 1.306, 445840.828, 1.308, 0
27, 24, 51, Cr, -51444.760, 1.313, 444305.741, 1.315, 0
26, 25, 51, Mn, -48236.956, 1.339, 440315.584, 1.340, 0
25, 26, 51, Fe, -40217.307, 15.059, 431513.581, 15.059, 0
24, 27, 51, Co, -27274, 149, 417788, 149, 1
23, 28, 51, Ni, -11439, 261, 401170, 261, 1
34, 18, 52, Ar, -1705, 904, 407331, 904, 1
33, 19, 52, K, -16199, 699, 421043, 699, 1
32, 20, 52, Ca, -32509.136, 465.747, 436570.854, 465.747, 0
